FINAL VOTE RESULTS FOR ROLL CALL 85
(Republicans in roman; Democrats in italic; Independents underlined)

      H CON RES 38      YEA-AND-NAY      5-Mar-2026      4:37 PM
      QUESTION:  On Agreeing to the Resolution
      BILL TITLE: Directing the President pursuant to section 5(c) of the War Powers Resolution to remove United States Armed Forces from unauthorized hostilities in the Islamic Republic of Iran

Yeas	Nays	PRES	NV
Republican	2	215	 	1
Democratic	210	4	 	 
Independent	 	 	 	 
TOTALS	212	219	 	1

Representative	Party	State	Vote
Adams	Democratic	North Carolina	Yea
Aderholt	Republican	Alabama	Nay
Aguilar	Democratic	California	Yea
Alford	Republican	Missouri	Nay
Allen	Republican	Georgia	Nay
Amo	Democratic	Rhode Island	Yea
Amodei (NV)	Republican	Nevada	Nay
Ansari	Democratic	Arizona	Yea
Arrington	Republican	Texas	Nay
Auchincloss	Democratic	Massachusetts	Yea
Babin	Republican	Texas	Nay
Bacon	Republican	Nebraska	Nay
Baird	Republican	Indiana	Nay
Balderson	Republican	Ohio	Nay
Balint	Democratic	Vermont	Yea
Barr	Republican	Kentucky	Nay
Barragán	Democratic	California	Yea
Barrett	Republican	Michigan	Nay
Baumgartner	Republican	Washington	Nay
Bean (FL)	Republican	Florida	Nay
Beatty	Democratic	Ohio	Yea
Begich	Republican	Alaska	Nay
Bell	Democratic	Missouri	Yea
Bentz	Republican	Oregon	Nay
Bera	Democratic	California	Yea
Bergman	Republican	Michigan	Nay
Beyer	Democratic	Virginia	Yea
Bice	Republican	Oklahoma	Nay
Biggs (AZ)	Republican	Arizona	Nay
Biggs (SC)	Republican	South Carolina	Nay
Bilirakis	Republican	Florida	Nay
Bishop	Democratic	Georgia	Yea
Boebert	Republican	Colorado	Nay
Bonamici	Democratic	Oregon	Yea
Bost	Republican	Illinois	Nay
Boyle (PA)	Democratic	Pennsylvania	Yea
Brecheen	Republican	Oklahoma	Nay
Bresnahan	Republican	Pennsylvania	Nay
Brown	Democratic	Ohio	Yea
Brownley	Democratic	California	Yea
Buchanan	Republican	Florida	Nay
Budzinski	Democratic	Illinois	Yea
Burchett	Republican	Tennessee	Nay
Burlison	Republican	Missouri	Nay
Bynum	Democratic	Oregon	Yea
Calvert	Republican	California	Nay
Cammack	Republican	Florida	Nay
